"_id","_index","_score","_type","device_id","device_id.keyword","mqtt_gateway","mqtt_gateway.keyword","sensor_id","sensor_id.keyword","sensor_name","sensor_name.keyword",timestamp,"value.countPeople"
"34_82_231+0+9574","34_82_231","-","_doc",82,82,"iot_platform","iot_platform",231,231,counter,counter,"Jun 30, 2023 @ 12:11:52.000",37
"34_82_231+0+9572","34_82_231","-","_doc",82,82,"iot_platform","iot_platform",231,231,counter,counter,"Jun 30, 2023 @ 12:11:45.000",35
"34_82_231+0+9573","34_82_231","-","_doc",82,82,"iot_platform","iot_platform",231,231,counter,counter,"Jun 30, 2023 @ 12:11:45.000",36
"34_82_231+0+9571","34_82_231","-","_doc",82,82,"iot_platform","iot_platform",231,231,counter,counter,"Jun 30, 2023 @ 12:11:44.000",34
"34_82_231+0+9570","34_82_231","-","_doc",82,82,"iot_platform","iot_platform",231,231,counter,counter,"Jun 30, 2023 @ 12:11:43.000",33
"34_82_231+0+9568","34_82_231","-","_doc",82,82,"iot_platform","iot_platform",231,231,counter,counter,"Jun 30, 2023 @ 12:11:39.000",31
"34_82_231+0+9569","34_82_231","-","_doc",82,82,"iot_platform","iot_platform",231,231,counter,counter,"Jun 30, 2023 @ 12:11:39.000",32
"34_82_231+0+9567","34_82_231","-","_doc",82,82,"iot_platform","iot_platform",231,231,counter,counter,"Jun 30, 2023 @ 12:11:38.000",30
"34_82_231+0+9566","34_82_231","-","_doc",82,82,"iot_platform","iot_platform",231,231,counter,counter,"Jun 30, 2023 @ 12:11:37.000",29
"34_82_231+0+9565","34_82_231","-","_doc",82,82,"iot_platform","iot_platform",231,231,counter,counter,"Jun 30, 2023 @ 12:11:34.000",28
"34_82_231+0+9564","34_82_231","-","_doc",82,82,"iot_platform","iot_platform",231,231,counter,counter,"Jun 30, 2023 @ 12:11:33.000",27
"34_82_231+0+9563","34_82_231","-","_doc",82,82,"iot_platform","iot_platform",231,231,counter,counter,"Jun 30, 2023 @ 12:11:32.000",26
"34_82_231+0+9562","34_82_231","-","_doc",82,82,"iot_platform","iot_platform",231,231,counter,counter,"Jun 30, 2023 @ 12:11:29.000",25
"34_82_231+0+9560","34_82_231","-","_doc",82,82,"iot_platform","iot_platform",231,231,counter,counter,"Jun 30, 2023 @ 12:11:28.000",23
"34_82_231+0+9561","34_82_231","-","_doc",82,82,"iot_platform","iot_platform",231,231,counter,counter,"Jun 30, 2023 @ 12:11:28.000",24
"34_82_231+0+9559","34_82_231","-","_doc",82,82,"iot_platform","iot_platform",231,231,counter,counter,"Jun 30, 2023 @ 12:11:27.000",22
"34_82_231+0+9558","34_82_231","-","_doc",82,82,"iot_platform","iot_platform",231,231,counter,counter,"Jun 30, 2023 @ 12:11:18.000",21
"34_82_231+0+9557","34_82_231","-","_doc",82,82,"iot_platform","iot_platform",231,231,counter,counter,"Jun 30, 2023 @ 12:11:17.000",20
"34_82_231+0+9556","34_82_231","-","_doc",82,82,"iot_platform","iot_platform",231,231,counter,counter,"Jun 30, 2023 @ 12:11:10.000",19
"34_82_231+0+9555","34_82_231","-","_doc",82,82,"iot_platform","iot_platform",231,231,counter,counter,"Jun 30, 2023 @ 12:11:09.000",18
"34_82_231+0+9554","34_82_231","-","_doc",82,82,"iot_platform","iot_platform",231,231,counter,counter,"Jun 30, 2023 @ 12:11:08.000",17
"34_82_231+0+9553","34_82_231","-","_doc",82,82,"iot_platform","iot_platform",231,231,counter,counter,"Jun 30, 2023 @ 12:11:00.000",16
"34_82_231+0+9552","34_82_231","-","_doc",82,82,"iot_platform","iot_platform",231,231,counter,counter,"Jun 30, 2023 @ 12:10:59.000",15
"34_82_231+0+9551","34_82_231","-","_doc",82,82,"iot_platform","iot_platform",231,231,counter,counter,"Jun 30, 2023 @ 12:10:58.000",14
"34_82_231+0+9549","34_82_231","-","_doc",82,82,"iot_platform","iot_platform",231,231,counter,counter,"Jun 30, 2023 @ 12:10:47.000",12
"34_82_231+0+9550","34_82_231","-","_doc",82,82,"iot_platform","iot_platform",231,231,counter,counter,"Jun 30, 2023 @ 12:10:47.000",13
"34_82_231+0+9548","34_82_231","-","_doc",82,82,"iot_platform","iot_platform",231,231,counter,counter,"Jun 30, 2023 @ 12:10:46.000",11
"34_82_231+0+9547","34_82_231","-","_doc",82,82,"iot_platform","iot_platform",231,231,counter,counter,"Jun 30, 2023 @ 12:10:38.000",10
"34_82_231+0+9545","34_82_231","-","_doc",82,82,"iot_platform","iot_platform",231,231,counter,counter,"Jun 30, 2023 @ 12:10:37.000",8
"34_82_231+0+9546","34_82_231","-","_doc",82,82,"iot_platform","iot_platform",231,231,counter,counter,"Jun 30, 2023 @ 12:10:37.000",9
"34_82_231+0+9544","34_82_231","-","_doc",82,82,"iot_platform","iot_platform",231,231,counter,counter,"Jun 30, 2023 @ 12:10:36.000",7
"34_82_231+0+9543","34_82_231","-","_doc",82,82,"iot_platform","iot_platform",231,231,counter,counter,"Jun 30, 2023 @ 12:10:24.000",6
"34_82_231+0+9542","34_82_231","-","_doc",82,82,"iot_platform","iot_platform",231,231,counter,counter,"Jun 30, 2023 @ 12:10:23.000",5
"34_82_231+0+9541","34_82_231","-","_doc",82,82,"iot_platform","iot_platform",231,231,counter,counter,"Jun 30, 2023 @ 12:10:20.000",4
"34_82_231+0+9540","34_82_231","-","_doc",82,82,"iot_platform","iot_platform",231,231,counter,counter,"Jun 30, 2023 @ 12:10:19.000",3
"34_82_231+0+9539","34_82_231","-","_doc",82,82,"iot_platform","iot_platform",231,231,counter,counter,"Jun 30, 2023 @ 12:10:18.000",2
"34_82_231+0+9538","34_82_231","-","_doc",82,82,"iot_platform","iot_platform",231,231,counter,counter,"Jun 30, 2023 @ 12:10:05.000",1
"34_82_231+0+9537","34_82_231","-","_doc",82,82,"iot_platform","iot_platform",231,231,counter,counter,"Jun 30, 2023 @ 12:07:13.000",0
"34_82_231+0+9536","34_82_231","-","_doc",82,82,"iot_platform","iot_platform",231,231,counter,counter,"Jun 30, 2023 @ 12:02:13.000",0
"34_82_231+0+9535","34_82_231","-","_doc",82,82,"iot_platform","iot_platform",231,231,counter,counter,"Jun 30, 2023 @ 12:01:06.000",0
"34_82_231+0+9534","34_82_231","-","_doc",82,82,"iot_platform","iot_platform",231,231,counter,counter,"Jun 30, 2023 @ 12:00:55.000",1
"34_82_231+0+9532","34_82_231","-","_doc",82,82,"iot_platform","iot_platform",231,231,counter,counter,"Jun 30, 2023 @ 12:00:54.000",3
"34_82_231+0+9533","34_82_231","-","_doc",82,82,"iot_platform","iot_platform",231,231,counter,counter,"Jun 30, 2023 @ 12:00:54.000",2
"34_82_231+0+9531","34_82_231","-","_doc",82,82,"iot_platform","iot_platform",231,231,counter,counter,"Jun 30, 2023 @ 12:00:53.000",4
