"_id","_index","_score","_type","device_id","device_id.keyword","mqtt_gateway","mqtt_gateway.keyword","sensor_id","sensor_id.keyword","sensor_name","sensor_name.keyword",timestamp,"value.peopleCount"
"35_83_238+0+9598","35_83_238","-","_doc",83,83,"iot_platform","iot_platform",238,238,barriers,barriers,"Jun 30, 2023 @ 10:51:47.233",0
"35_83_238+0+9597","35_83_238","-","_doc",83,83,"iot_platform","iot_platform",238,238,barriers,barriers,"Jun 30, 2023 @ 10:46:47.233",0
"35_83_238+0+9596","35_83_238","-","_doc",83,83,"iot_platform","iot_platform",238,238,barriers,barriers,"Jun 30, 2023 @ 10:41:47.233",0
"35_83_238+0+9595","35_83_238","-","_doc",83,83,"iot_platform","iot_platform",238,238,barriers,barriers,"Jun 30, 2023 @ 10:36:47.233",0
"35_83_238+0+9594","35_83_238","-","_doc",83,83,"iot_platform","iot_platform",238,238,barriers,barriers,"Jun 30, 2023 @ 10:31:47.233",0
"35_83_238+0+9593","35_83_238","-","_doc",83,83,"iot_platform","iot_platform",238,238,barriers,barriers,"Jun 30, 2023 @ 10:26:47.233",0
"35_83_238+0+9592","35_83_238","-","_doc",83,83,"iot_platform","iot_platform",238,238,barriers,barriers,"Jun 30, 2023 @ 10:21:47.233",0
"35_83_238+0+9591","35_83_238","-","_doc",83,83,"iot_platform","iot_platform",238,238,barriers,barriers,"Jun 30, 2023 @ 10:16:47.233",0
"35_83_238+0+9590","35_83_238","-","_doc",83,83,"iot_platform","iot_platform",238,238,barriers,barriers,"Jun 30, 2023 @ 10:11:47.233",21
"35_83_238+0+9589","35_83_238","-","_doc",83,83,"iot_platform","iot_platform",238,238,barriers,barriers,"Jun 30, 2023 @ 10:06:47.233",0
"35_83_238+0+9588","35_83_238","-","_doc",83,83,"iot_platform","iot_platform",238,238,barriers,barriers,"Jun 30, 2023 @ 10:01:47.229",0
"35_83_238+0+9587","35_83_238","-","_doc",83,83,"iot_platform","iot_platform",238,238,barriers,barriers,"Jun 30, 2023 @ 09:54:35.931",0
"35_83_238+0+9586","35_83_238","-","_doc",83,83,"iot_platform","iot_platform",238,238,barriers,barriers,"Jun 30, 2023 @ 09:48:17.748",0
"35_83_238+0+9585","35_83_238","-","_doc",83,83,"iot_platform","iot_platform",238,238,barriers,barriers,"Jun 30, 2023 @ 09:44:35.280",0
"35_83_238+0+9584","35_83_238","-","_doc",83,83,"iot_platform","iot_platform",238,238,barriers,barriers,"Jun 30, 2023 @ 09:39:16.772",0
"35_83_238+0+9583","35_83_238","-","_doc",83,83,"iot_platform","iot_platform",238,238,barriers,barriers,"Jun 30, 2023 @ 09:34:16.772",0
"35_83_238+0+9582","35_83_238","-","_doc",83,83,"iot_platform","iot_platform",238,238,barriers,barriers,"Jun 30, 2023 @ 09:32:43.341",0
"35_83_238+0+9581","35_83_238","-","_doc",83,83,"iot_platform","iot_platform",238,238,barriers,barriers,"Jun 30, 2023 @ 09:29:55.534",0
"35_83_238+0+9580","35_83_238","-","_doc",83,83,"iot_platform","iot_platform",238,238,barriers,barriers,"Jun 30, 2023 @ 09:25:50.285",0
"35_83_238+0+9579","35_83_238","-","_doc",83,83,"iot_platform","iot_platform",238,238,barriers,barriers,"Jun 30, 2023 @ 09:23:45.713",0
"35_83_238+0+9578","35_83_238","-","_doc",83,83,"iot_platform","iot_platform",238,238,barriers,barriers,"Jun 30, 2023 @ 09:18:45.713",0
"35_83_238+0+9577","35_83_238","-","_doc",83,83,"iot_platform","iot_platform",238,238,barriers,barriers,"Jun 30, 2023 @ 09:13:45.713",0
"35_83_238+0+9576","35_83_238","-","_doc",83,83,"iot_platform","iot_platform",238,238,barriers,barriers,"Jun 30, 2023 @ 09:08:45.713",0
"35_83_238+0+9575","35_83_238","-","_doc",83,83,"iot_platform","iot_platform",238,238,barriers,barriers,"Jun 30, 2023 @ 09:03:45.712",0
"35_83_238+0+9574","35_83_238","-","_doc",83,83,"iot_platform","iot_platform",238,238,barriers,barriers,"Jun 30, 2023 @ 08:58:45.712",0
"35_83_238+0+9573","35_83_238","-","_doc",83,83,"iot_platform","iot_platform",238,238,barriers,barriers,"Jun 30, 2023 @ 08:53:45.712",0
"35_83_238+0+9572","35_83_238","-","_doc",83,83,"iot_platform","iot_platform",238,238,barriers,barriers,"Jun 30, 2023 @ 08:48:45.712",0
"35_83_238+0+9571","35_83_238","-","_doc",83,83,"iot_platform","iot_platform",238,238,barriers,barriers,"Jun 30, 2023 @ 08:43:45.712",0
"35_83_238+0+9570","35_83_238","-","_doc",83,83,"iot_platform","iot_platform",238,238,barriers,barriers,"Jun 30, 2023 @ 08:38:45.712",0
"35_83_238+0+9569","35_83_238","-","_doc",83,83,"iot_platform","iot_platform",238,238,barriers,barriers,"Jun 30, 2023 @ 08:33:45.712",0
"35_83_238+0+9568","35_83_238","-","_doc",83,83,"iot_platform","iot_platform",238,238,barriers,barriers,"Jun 30, 2023 @ 08:28:45.712",0
"35_83_238+0+9567","35_83_238","-","_doc",83,83,"iot_platform","iot_platform",238,238,barriers,barriers,"Jun 30, 2023 @ 08:23:45.712",0
"35_83_238+0+9566","35_83_238","-","_doc",83,83,"iot_platform","iot_platform",238,238,barriers,barriers,"Jun 30, 2023 @ 08:18:45.712",0
"35_83_238+0+9565","35_83_238","-","_doc",83,83,"iot_platform","iot_platform",238,238,barriers,barriers,"Jun 30, 2023 @ 08:13:45.712",0
"35_83_238+0+9564","35_83_238","-","_doc",83,83,"iot_platform","iot_platform",238,238,barriers,barriers,"Jun 30, 2023 @ 08:08:45.712",0
"35_83_238+0+9563","35_83_238","-","_doc",83,83,"iot_platform","iot_platform",238,238,barriers,barriers,"Jun 30, 2023 @ 08:03:45.713",0
"35_83_238+0+9562","35_83_238","-","_doc",83,83,"iot_platform","iot_platform",238,238,barriers,barriers,"Jun 30, 2023 @ 07:58:45.713",0
"35_83_238+0+9561","35_83_238","-","_doc",83,83,"iot_platform","iot_platform",238,238,barriers,barriers,"Jun 30, 2023 @ 07:53:45.713",0
"35_83_238+0+9560","35_83_238","-","_doc",83,83,"iot_platform","iot_platform",238,238,barriers,barriers,"Jun 30, 2023 @ 07:48:45.713",0
